#,DEX,ID,NAME,FAST,CHARGE,Fast DPS,Charge DPS,Useless,Weave DPS,Fast%,NOTES,OFF %,DEF %, ,Comb Rank,DPS,OFF TDO,OFF TDO %,DEF TDO,DEF TDO %,EHP,MAX CP,,Comb Rank_1,EHP_1,DPS_1,OFF TDO_1,,Comb Rank_3,EHP_3,DPS_3,OFF TDO_3
1,1,1,Bulbasaur,Vine Whip,Sludge Bomb,5.2,13.5,,8.8,56%,,97%,94%,,3617,8.8,115,16.0%,94,18.8%,68,1115,,3710,68,8.8,115,,2446,108,10.6,221
2,1,1,Bulbasaur,Vine Whip,Seed Bomb,5.2,10.2,,7.9,46%,,87%,78%,,3799,7.9,103,14.3%,78,15.6%,68,1115,,3835,68,7.9,103,,2010,108,12.7,264
3,1,1,Bulbasaur,Vine Whip,Power Whip,5.2,13.5,,9.1,53%,,100%,100%,,3563,9.1,119,16.4%,101,20.1%,68,1115,,3682,68,9.1,119,,1677,108,14.6,304
4,1,1,Bulbasaur,Tackle,Sludge Bomb,4.1,13.5,,8.2,56%,,90%,86%,,3718,8.2,106,14.8%,86,17.2%,68,1115,,3803,68,8.2,106,,3004,108,8.2,170
5,1,1,Bulbasaur,Tackle,Seed Bomb,4.1,10.2,,7.4,46%,,81%,72%,,3891,7.4,96,13.3%,73,14.5%,68,1115,,3906,68,7.4,96,,2420,108,10.7,223
6,1,1,Bulbasaur,Tackle,Power Whip,4.1,13.5,,8.5,53%,,93%,92%,,3655,8.5,111,15.3%,93,18.5%,68,1115,,3748,68,8.5,111,,2068,108,12.3,256
7,2,2,Ivysaur,Razor Leaf,Sludge Bomb,6.7,16.8,,10.3,64%,,93%,88%,,2808,10.3,198,27.5%,147,29.3%,100,1699,,2858,100,10.3,198,,1031,160,12.9,396
8,2,2,Ivysaur,Razor Leaf,Solar Beam,6.7,17.9,,10.7,64%,,97%,95%,,2634,10.7,206,28.6%,158,31.5%,100,1699,,2788,100,10.7,206,,458,160,17.2,527
9,2,2,Ivysaur,Razor Leaf,Power Whip,6.7,16.8,,10.6,61%,,96%,94%,,2657,10.6,204,28.3%,157,31.3%,100,1699,,2800,100,10.6,204,,476,160,17.0,522
10,2,2,Ivysaur,Vine Whip,Sludge Bomb,6.3,16.8,,10.6,59%,,96%,93%,,2697,10.6,204,28.3%,155,30.9%,100,1699,,2798,100,10.6,204,,1043,160,12.8,394
11,2,2,Ivysaur,Vine Whip,Solar Beam,6.3,17.9,,11.1,59%,,100%,100%,,2536,11.1,213,29.6%,166,33.1%,100,1699,,2709,100,11.1,213,,407,160,17.8,546
12,2,2,Ivysaur,Vine Whip,Power Whip,6.3,16.8,,11.0,55%,,99%,100%,,2548,11.0,210,29.2%,166,33.2%,100,1699,,2743,100,11.0,210,,425,160,17.5,539
13,3,3,Venusaur,Razor Leaf,Sludge Bomb,8.5,21.5,,12.8,67%,,88%,87%,,1033,12.8,379,52.6%,260,51.9%,154,2720,,1197,154,12.8,379,,141,246,16.2,767
14,3,3,Venusaur,Razor Leaf,Petal Blizzard,8.5,26.2,,12.2,79%,,83%,76%,,1319,12.2,360,50.0%,228,45.5%,154,2720,,1382,154,12.2,360,,65,246,19.5,922
15,3,3,Venusaur,Razor Leaf,Solar Beam,8.5,23.0,,13.4,66%,,91%,95%,,725,13.4,395,54.8%,284,56.6%,154,2720,,1077,154,13.4,395,,35,246,21.4,1012
16,3,3,Venusaur,Razor Leaf,Frenzy Plant,8.5,23.8,,14.1,64%,EVENT,96%,100%,,595,14.1,416,57.7%,298,59.5%,154,2720,,914,154,14.1,416,,26,246,22.5,1065
17,3,3,Venusaur,Vine Whip,Sludge Bomb,7.8,21.5,,13.2,61%,,90%,84%,,1042,13.2,390,54.1%,252,50.3%,154,2720,,1123,154,13.2,390,,149,246,16.1,759
